ID,Category,Law Name,Section/Act Reference,Full Act Name,Year Enacted/Amended,Current Status,Key Provisions Summary,Who It Applies To,Enforcement Authority,Importance Level
1,Constitutional Law,Right to Equality,Article 14,Constitution of India,1950,Active,Equality before law; no discrimination by state,All Citizens,Supreme Court / High Court,High
2,Constitutional Law,Right to Freedom of Speech,Article 19(1)(a),Constitution of India,1950,Active,Freedom of speech and expression with reasonable restrictions,All Citizens,Supreme Court / High Court,High
3,Constitutional Law,Right to Life,Article 21,Constitution of India,1950,Active,No person shall be deprived of life or personal liberty except by procedure established by law,All Citizens,Supreme Court / High Court,High
4,Constitutional Law,Right Against Exploitation,Article 23-24,Constitution of India,1950,Active,Prohibition of trafficking and forced labour,All Citizens,Supreme Court / High Court,High
5,Constitutional Law,Right to Education,Article 21A,86th Constitutional Amendment,2002,Active,Free and compulsory education for children aged 6-14,Children 6-14 yrs,Supreme Court / High Court,High
6,Criminal Law,Bharatiya Nyaya Sanhita (BNS),BNS 2023,Bharatiya Nyaya Sanhita,2023,Active (from Jul 2024),"Replaced IPC; covers murder, theft, fraud, rape, terrorism etc.",All Persons,Criminal Courts,High
7,Criminal Law,Murder,Section 101 BNS,Bharatiya Nyaya Sanhita,2023,Active,Punishment for murder - death or life imprisonment,All Persons,Sessions Court,High
8,Criminal Law,Culpable Homicide,Section 100 BNS,Bharatiya Nyaya Sanhita,2023,Active,Culpable homicide not amounting to murder,All Persons,Sessions Court,High
9,Criminal Law,Rape,Section 63-70 BNS,Bharatiya Nyaya Sanhita,2023,Active,Sexual assault and rape; punishment up to life imprisonment,All Persons,Sessions Court / Fast Track Court,High
10,Criminal Law,Sexual Harassment at Workplace,POSH Act,Sexual Harassment of Women at Workplace Act,2013,Active,Mandatory ICC in organizations; complaint mechanism,Women Employees,Internal Complaints Committee,High
11,Criminal Law,Theft,Section 303 BNS,Bharatiya Nyaya Sanhita,2023,Active,Dishonest taking of movable property,All Persons,Magistrate Court,Medium
12,Criminal Law,Cheating,Section 318 BNS,Bharatiya Nyaya Sanhita,2023,Active,Deceiving a person to deliver property or cause damage,All Persons,Magistrate Court,High
13,Criminal Law,Defamation,Section 356 BNS,Bharatiya Nyaya Sanhita,2023,Active,Making or publishing imputations to harm reputation,All Persons,Magistrate Court,Medium
14,Criminal Law,Organized Crime,Section 111 BNS,Bharatiya Nyaya Sanhita,2023,Active,New provision for organized crime syndicates,All Persons,Sessions Court,High
15,Criminal Law,Terrorism,Section 113 BNS,Bharatiya Nyaya Sanhita,2023,Active,"Acts threatening unity, integrity and security of India",All Persons,NIA / Special Court,High
16,Criminal Law,Sedition (Amended),Section 152 BNS,Bharatiya Nyaya Sanhita,2023,Active,Acts endangering sovereignty; replaced old sedition law,All Persons,Sessions Court,High
17,Criminal Law,Corruption,Section 7 PC Act,Prevention of Corruption Act,1988,Active (Amended 2018),Bribery of public servants; mandatory minimum imprisonment,Public Servants,Special CBI Court,High
18,Criminal Law,NDPS Act,NDPS 1985,Narcotic Drugs and Psychotropic Substances Act,1985,Active (Amended 2021),Drug trafficking offences; death penalty for repeat offenders,All Persons,Special NDPS Court,High
19,Criminal Law,Unlawful Activities,UAPA 1967,Unlawful Activities Prevention Act,1967,Active (Amended 2019),Banning of organizations; terrorism financing,All Persons,NIA / Special Court,High
20,Procedural Law,Bharatiya Nagarik Suraksha Sanhita,BNSS 2023,Bharatiya Nagarik Suraksha Sanhita,2023,Active (from Jul 2024),"Replaced CrPC; criminal procedure, trial, bail, FIR",All Persons,All Criminal Courts,High
21,Procedural Law,Zero FIR,Section 173 BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,FIR can be filed at any police station regardless of jurisdiction,Complainants,Any Police Station,High
22,Procedural Law,Bail Provisions,Section 478-498 BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,"Regular bail, anticipatory bail, default bail rules",Accused,Magistrate / Sessions Court,High
23,Procedural Law,Trial by Video Conferencing,Section 530 BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,Court proceedings through electronic means,All Parties,All Courts,Medium
24,Procedural Law,Charge Framing Timeline,Section 223 BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,60-day limit for framing charges after cognizance,Accused,Sessions Court,Medium
25,Procedural Law,Bharatiya Sakshya Adhiniyam,BSA 2023,Bharatiya Sakshya Adhiniyam,2023,Active (from Jul 2024),Replaced Indian Evidence Act; electronic records as primary evidence,All Parties,All Courts,High
26,Procedural Law,Electronic Evidence,Section 57-63 BSA,Bharatiya Sakshya Adhiniyam,2023,Active,Electronic records admissible; Certificate requirement relaxed,All Parties,All Courts,High
27,Civil Law,Civil Procedure Code,CPC 1908,Code of Civil Procedure,1908,Active,"Procedure for civil suits, execution, appeals",All Parties,Civil Courts,High
28,Civil Law,Specific Relief,Specific Relief Act,Specific Relief Act,1963,Active (Amended 2018),Specific performance of contracts; injunctions,Contracting Parties,Civil Court,Medium
29,Civil Law,Limitation Act,Limitation Act 1963,Limitation Act,1963,Active,Time limits for filing civil suits and appeals,All Litigants,Civil Courts,High
30,Civil Law,Transfer of Property,TPA 1882,Transfer of Property Act,1882,Active,"Sale, mortgage, lease, exchange, gift of immovable property",Property Owners,Civil Court / Registration,High
31,Civil Law,Registration Act,Registration Act 1908,Registration Act,1908,Active,Compulsory registration of documents relating to property,Property Parties,Sub-Registrar Office,High
32,Civil Law,Stamp Act,Indian Stamp Act 1899,Indian Stamp Act,1899,Active,"Stamp duty on documents, instruments and agreements",All Transacting Parties,Stamp Authority / Court,Medium
33,Family Law,Hindu Marriage Act,HMA 1955,Hindu Marriage Act,1955,Active,"Marriage, divorce, maintenance for Hindus, Buddhists, Sikhs, Jains",Hindus,Family Court,High
34,Family Law,Hindu Succession Act,HSA 1956,Hindu Succession Act,1956,Active (Amended 2005),Intestate succession; daughters have equal coparcenary rights,Hindus,Civil Court,High
35,Family Law,Hindu Adoption & Maintenance,HAMA 1956,Hindu Adoptions and Maintenance Act,1956,Active,Adoption procedures and maintenance obligations for Hindus,Hindus,Family Court,Medium
36,Family Law,Muslim Personal Law,Muslim Personal Law,Muslim Personal Law (Shariat) Application Act,1937,Active,"Governs marriage, divorce, inheritance for Muslims",Muslims,Family Court,High
37,Family Law,Muslim Women Protection Act,MWP Act 2019,Muslim Women (Protection of Rights on Marriage) Act,2019,Active,Triple talaq criminalized; imprisonment up to 3 years,Muslim Women,Magistrate Court,High
38,Family Law,Indian Christian Marriage,ICMA 1872,Indian Christian Marriage Act,1872,Active,Marriage solemnization for Christians in India,Christians,Marriage Registrar,Medium
39,Family Law,Special Marriage Act,SMA 1954,Special Marriage Act,1954,Active,Civil marriage across religions; court marriage procedure,All Citizens,Marriage Officer,High
40,Family Law,Domestic Violence Act,PWDVA 2005,Protection of Women from Domestic Violence Act,2005,Active,Civil remedy for domestic violence; protection orders,Women,Magistrate Court,High
41,Family Law,Dowry Prohibition Act,DPA 1961,Dowry Prohibition Act,1961,Active,Prohibition and punishment for giving/taking dowry,All Persons,Magistrate Court,High
42,Family Law,Maintenance & Welfare of Parents,MWP Act 2007,Maintenance and Welfare of Parents and Senior Citizens Act,2007,Active (Amended 2019),Children's duty to maintain parents; tribunals established,Senior Citizens,Maintenance Tribunal,Medium
43,Family Law,Guardianship Act,Guardian & Wards Act 1890,Guardians and Wards Act,1890,Active,Appointment of guardians for minor children,Minors,Family Court,Medium
44,Family Law,Juvenile Justice Act,JJ Act 2015,Juvenile Justice (Care and Protection) Act,2015,Active (Amended 2021),Child welfare; JJB for children in conflict with law,Children below 18,Juvenile Justice Board,High
45,Family Law,POCSO Act,POCSO 2012,Protection of Children from Sexual Offences Act,2012,Active (Amended 2019),Sexual offences against children; enhanced penalties,Children below 18,Special POCSO Court,High
46,Property Law,RERA Act,RERA 2016,Real Estate (Regulation and Development) Act,2016,Active,Registration of real estate projects; builder accountability,Home Buyers,RERA Authority,High
47,Property Law,Land Acquisition Act,RFCTLARR 2013,Right to Fair Compensation and Transparency in Land Acquisition Act,2013,Active,Land acquisition process; compensation and rehabilitation,Landowners,Land Acquisition Officer,High
48,Property Law,Rent Control Acts,State Rent Acts,Various State Rent Control Acts,1947-2000,Active (varies by state),Protection of tenants from eviction; rent regulation,Tenants & Landlords,Rent Controller,High
49,Property Law,Apartment Ownership,Various State Laws,Apartment Ownership Acts (State-wise),1972-2000,Active,Ownership rights in apartments and condominiums,Apartment Owners,Civil Court,Medium
50,Property Law,Benami Transactions Act,PBPT Act 1988,Prohibition of Benami Property Transactions Act,1988,Active (Amended 2016),Prohibition of benami transactions; confiscation of property,Property Holders,Adjudicating Authority,High
51,Contract Law,Indian Contract Act,ICA 1872,Indian Contract Act,1872,Active,"Formation, validity and enforcement of contracts",All Contracting Parties,Civil Court,High
52,Contract Law,Sale of Goods Act,SOGA 1930,Sale of Goods Act,1930,Active,Conditions and warranties in sale of goods,Buyers & Sellers,Civil Court,High
53,Contract Law,Arbitration & Conciliation,A&C Act 1996,Arbitration and Conciliation Act,1996,Active (Amended 2021),Domestic and international arbitration; enforcement of awards,Disputing Parties,Arbitral Tribunal,High
54,Contract Law,Insolvency & Bankruptcy Code,IBC 2016,Insolvency and Bankruptcy Code,2016,Active (Amended 2021),"Resolution of insolvency for companies, firms, individuals",Debtors & Creditors,NCLT / DRT,High
55,Contract Law,Consumer Protection Act,CPA 2019,Consumer Protection Act,2019,Active,Consumer rights; e-commerce regulation; CCPA established,Consumers,Consumer Commission,High
56,Contract Law,Negotiable Instruments Act,NIA 1881,Negotiable Instruments Act,1881,Active,"Cheques, bills of exchange, promissory notes",Banking Parties,Magistrate Court,High
57,Contract Law,Cheque Dishonour,Section 138 NI Act,Negotiable Instruments Act,1881,Active,Criminal liability for cheque bounce; up to 2 years imprisonment,All Persons,Magistrate Court,High
58,Company Law,Companies Act,Companies Act 2013,Companies Act,2013,Active (Amended 2020),"Incorporation, management, winding up of companies",Companies,NCLT / ROC,High
59,Company Law,LLP Act,LLP Act 2008,Limited Liability Partnership Act,2008,Active (Amended 2021),Formation and regulation of Limited Liability Partnerships,LLP Partners,ROC,Medium
60,Company Law,SEBI Act,SEBI Act 1992,Securities and Exchange Board of India Act,1992,Active,Regulation of securities market; investor protection,Investors & Companies,SEBI,High
61,Company Law,FEMA,FEMA 1999,Foreign Exchange Management Act,1999,Active,Regulation of foreign exchange; capital account transactions,Businesses & Individuals,Enforcement Directorate,High
62,Company Law,Competition Act,Competition Act 2002,Competition Act,2002,Active (Amended 2023),Prevention of anti-competitive practices; CCI regulation,All Market Players,Competition Commission of India,High
63,Company Law,GST Law,CGST Act 2017,Central Goods and Services Tax Act,2017,Active (Amended 2023),Unified indirect tax; input tax credit mechanism,All Businesses,GST Authority,High
64,Company Law,Income Tax Act,IT Act 1961,Income Tax Act,1961,Active (Amended annually),"Taxation of income; TDS, advance tax, assessments",All Taxpayers,Income Tax Department,High
65,Company Law,Benami Black Money,Black Money Act 2015,Black Money (Undisclosed Foreign Income) Act,2015,Active,Taxation of undisclosed foreign income; heavy penalties,Taxpayers,Tax Authority,High
66,Labour Law,Industrial Relations Code,IRC 2020,Industrial Relations Code,2020,Active,"Trade unions, collective bargaining, industrial disputes",Employers & Workers,Labour Court,High
67,Labour Law,Code on Wages,Wages Code 2019,Code on Wages,2019,Active,"Minimum wages, payment of wages, equal remuneration",All Workers,Labour Commissioner,High
68,Labour Law,Social Security Code,SS Code 2020,Code on Social Security,2020,Active,"EPF, ESI, gratuity, maternity benefits, gig workers included",All Workers,EPFO / ESIC,High
69,Labour Law,Occupational Safety Code,OSH Code 2020,"Occupational Safety, Health and Working Conditions Code",2020,Active,"Safety standards for factories, mines, construction",Workers,Factory Inspector,High
70,Labour Law,Maternity Benefit Act,MBA 1961,Maternity Benefit Act,1961,Active (Amended 2017),26 weeks maternity leave; work from home post maternity,Women Employees,Labour Commissioner,High
71,Labour Law,Gratuity Act,PG Act 1972,Payment of Gratuity Act,1972,Active,Gratuity payable after 5 years service; enhanced ceiling,Employees,Controlling Authority,Medium
72,Labour Law,Child Labour Act,CL Act 1986,Child Labour (Prohibition and Regulation) Act,1986,Active (Amended 2016),Prohibition of child labour below 14; adolescent work conditions,Children & Employers,Labour Inspector,High
73,Labour Law,Contract Labour Act,CL(R&A) Act 1970,Contract Labour (Regulation and Abolition) Act,1970,Active,Regulation of contract workers; licensing of contractors,Contract Workers,Labour Commissioner,Medium
74,Labour Law,Equal Remuneration Act,ERA 1976,Equal Remuneration Act,1976,Active (subsumed in Wages Code),Equal pay for equal work regardless of gender,All Workers,Labour Commissioner,High
75,Environmental Law,Environment Protection Act,EPA 1986,Environment Protection Act,1986,Active,Umbrella law for environmental protection; MoEF powers,All Persons,National Green Tribunal,High
76,Environmental Law,National Green Tribunal Act,NGT Act 2010,National Green Tribunal Act,2010,Active,Specialized tribunal for environmental cases; compensation,All Persons,National Green Tribunal,High
77,Environmental Law,Water Pollution Act,WP Act 1974,Water (Prevention and Control of Pollution) Act,1974,Active,Prevention and control of water pollution; PCB powers,Industries & Citizens,Pollution Control Board,High
78,Environmental Law,Air Pollution Act,AP Act 1981,Air (Prevention and Control of Pollution) Act,1981,Active,Standards for air quality; consent from PCB required,Industries,Pollution Control Board,High
79,Environmental Law,Forest Act,Indian Forest Act 1927,Indian Forest Act,1927,Active (Amended 2023),Classification of forests; penalties for forest offences,All Persons,Forest Tribunal,High
80,Environmental Law,Forest Rights Act,FRA 2006,Scheduled Tribes and Other Traditional Forest Dwellers Act,2006,Active,Rights of forest dwellers over forest land,Forest Communities,Gram Sabha / District Level,High
81,Environmental Law,Wildlife Protection Act,WPA 1972,Wildlife Protection Act,1972,Active (Amended 2022),"Protection of wild animals, birds; hunting prohibition",All Persons,Wildlife Crime Control Bureau,High
82,Environmental Law,Plastic Waste Rules,PWM Rules 2016,Plastic Waste Management Rules,2016,Active (Amended 2022),Prohibition on single-use plastics; EPR obligations,Manufacturers & Consumers,Local Authority / PCB,Medium
83,Environmental Law,E-Waste Rules,E-Waste Rules 2022,E-Waste (Management) Rules,2022,Active,EPR for electronics manufacturers; collection targets,Electronics Manufacturers,Central Pollution Control Board,Medium
84,Cyber Law,Information Technology Act,IT Act 2000,Information Technology Act,2000,Active (Amended 2008),"Cyber crimes, e-commerce, digital signatures",All Persons,Cyber Appellate Tribunal / Court,High
85,Cyber Law,Data Protection Act,DPDP Act 2023,Digital Personal Data Protection Act,2023,Active (Rules pending 2025),Data fiduciary obligations; consent framework; penalties up to 250 Cr,All Digital Entities,Data Protection Board,High
86,Cyber Law,IT (Amendment) Rules 2021,IT Rules 2021,Information Technology (Intermediary Guidelines) Rules,2021,Active (Amended 2023),Due diligence for intermediaries; Grievance officer mandatory,Social Media & Platforms,MeitY / Court,High
87,Cyber Law,Cyber Crime,Section 66 IT Act,Information Technology Act,2000,Active,"Hacking, identity theft, cyberstalking penalties",All Persons,Cyber Crime Police / Court,High
88,Cyber Law,Intermediary Liability,Section 79 IT Act,Information Technology Act,2000,Active,Safe harbour for intermediaries if due diligence followed,Online Platforms,Courts,High
89,Cyber Law,Right to be Forgotten,DPDP Act 2023,Digital Personal Data Protection Act,2023,Active,Right to erase personal data from platforms,Data Principals,Data Protection Board,High
90,Cyber Law,Cryptocurrency Regulation,VDA Tax Rules 2022,Finance Act (VDA Provisions),2022,Active,30% tax on crypto income; 1% TDS on transfers,Crypto Investors,Income Tax Department,High
91,IP Law,Patents Act,Patents Act 1970,Patents Act,1970,Active (Amended 2005),Patent protection for inventions; 20-year term,Inventors & Companies,Patent Office / IPAB,High
92,IP Law,Trade Marks Act,TM Act 1999,Trade Marks Act,1999,Active,Registration and protection of trademarks,Businesses,Trade Marks Registry,High
93,IP Law,Copyright Act,Copyright Act 1957,Copyright Act,1957,Active (Amended 2012),"Protection of literary, artistic, musical works; 60 years term",Creators,Copyright Office / Court,High
94,IP Law,Designs Act,Designs Act 2000,Designs Act,2000,Active,Protection of industrial designs; 10+5 year term,Designers,Designs Office,Medium
95,IP Law,Geographical Indications Act,GI Act 1999,Geographical Indications of Goods Act,1999,Active,"Protection of GI tags like Darjeeling Tea, Basmati Rice",Producers,GI Registry,Medium
96,Banking Law,Banking Regulation Act,BR Act 1949,Banking Regulation Act,1949,Active (Amended 2020),Regulation and supervision of banks by RBI,Banks,Reserve Bank of India,High
97,Banking Law,SARFAESI Act,SARFAESI 2002,Securitisation and Reconstruction of Financial Assets Act,2002,Active,Banks can recover NPA without court intervention,Banks & Borrowers,DRT / Courts,High
98,Banking Law,Prevention of Money Laundering,PMLA 2002,Prevention of Money Laundering Act,2002,Active (Amended 2023),Money laundering offence; attachment and confiscation,All Persons,Enforcement Directorate / PMLA Court,High
99,Banking Law,RBI Regulations,RBI Act 1934,Reserve Bank of India Act,1934,Active,Functions of RBI; monetary policy; currency management,Banks & NBFCs,Reserve Bank of India,High
100,Banking Law,Insurance Regulation,IRDA Act 1999,Insurance Regulatory and Development Authority Act,1999,Active,Regulation of insurance companies; policyholder protection,Insurance Companies & Policyholders,IRDAI / Consumer Forum,High
101,Administrative Law,Right to Information Act,RTI Act 2005,Right to Information Act,2005,Active,Citizens can seek information from public authorities within 30 days,All Citizens,PIO / CIC / SIC,High
102,Administrative Law,Prevention of Corruption Act,PC Act 1988,Prevention of Corruption Act,1988,Active (Amended 2018),Corruption offences by public servants; prior sanction for prosecution,Public Servants,Special CBI/ACB Court,High
103,Administrative Law,Administrative Tribunals Act,ATA 1985,Administrative Tribunals Act,1985,Active,Service matters of central government employees,Government Employees,Central Administrative Tribunal,Medium
104,Administrative Law,Lokpal Act,Lokpal Act 2013,Lokpal and Lokayuktas Act,2013,Active,Independent anti-corruption ombudsman for central government,Public Officials,Lokpal,High
105,Administrative Law,Whistle Blowers Protection,WBP Act 2014,Whistle Blowers Protection Act,2014,Active,Protection for persons disclosing corruption or wilful misuse,Government Employees & Citizens,Competent Authority,High
106,Healthcare Law,Clinical Establishments Act,CEA 2010,Clinical Establishments (Registration and Regulation) Act,2010,Active,Registration and regulation of clinical establishments,Healthcare Providers,District Registration Authority,Medium
107,Healthcare Law,Drugs & Cosmetics Act,D&C Act 1940,Drugs and Cosmetics Act,1940,Active (Amended 2023),"Standards for manufacture, sale of drugs and cosmetics",Pharmaceutical Companies,Drug Controller,High
108,Healthcare Law,Transplantation of Human Organs,THO Act 1994,Transplantation of Human Organs and Tissues Act,1994,Active (Amended 2011),Regulates organ transplantation; prevents organ trafficking,Hospitals & Patients,Authorisation Committee,High
109,Healthcare Law,Mental Healthcare Act,MHC Act 2017,Mental Healthcare Act,2017,Active,Rights of persons with mental illness; advance directives,Persons with Mental Illness,Mental Health Review Board,High
110,Healthcare Law,Medical Devices Rules,MD Rules 2017,Medical Devices Rules,2017,Active (Amended 2020),Classification and regulation of medical devices,Manufacturers & Importers,CDSCO,Medium
111,Education Law,RTE Act,RTE Act 2009,Right to Education Act,2009,Active,Free and compulsory education for 6-14 years; 25% reservation in pvt schools,Children 6-14 yrs,State Government,High
112,Education Law,UGC Act,UGC Act 1956,University Grants Commission Act,1956,Active,Coordination and maintenance of standards in higher education,Universities & Colleges,UGC,Medium
113,Education Law,NEP 2020,NEP 2020,National Education Policy,2020,Active (Implementation ongoing),Restructuring of education system; 5+3+3+4 structure,Educational Institutions,Ministry of Education,High
114,Education Law,Prohibition of Ragging,Anti-Ragging Rules 2009,UGC Regulations on Curbing Ragging,2009,Active,Prohibition of ragging in educational institutions; FIR mandatory,Educational Institutions,Institution / Police,High
115,Human Rights Law,Protection of Human Rights Act,PHR Act 1993,Protection of Human Rights Act,1993,Active,National Human Rights Commission; state commissions,All Citizens,NHRC / SHRC,High
116,Human Rights Law,SC & ST Prevention of Atrocities Act,PoA Act 1989,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act,1989,Active (Amended 2018),Protection of SC/ST from atrocities; special courts,SC/ST Communities,Special Court,High
117,Human Rights Law,Persons with Disabilities Act,RPwD Act 2016,Rights of Persons with Disabilities Act,2016,Active,Rights and entitlements of disabled persons; 21 categories,Persons with Disabilities,State Commissioner for Disabilities,High
118,Human Rights Law,Transgender Persons Act,TP Act 2019,Transgender Persons (Protection of Rights) Act,2019,Active,Recognition of transgender identity; prohibition of discrimination,Transgender Persons,National Council / Courts,High
119,Human Rights Law,Bonded Labour Act,BL Act 1976,Bonded Labour System (Abolition) Act,1976,Active,Abolition of bonded labour; rehabilitation of bonded labourers,Bonded Labourers,District Magistrate,High
120,Human Rights Law,Child Marriage Prohibition Act,CPMA 2006,Prohibition of Child Marriages Act,2006,Active (Amendment pending 2023),"Minimum age: 21 for men, 18 for women; voidable child marriages",Children,Magistrate Court,High
121,Taxation Law,GST (CGST),CGST 2017,Central Goods and Services Tax Act,2017,Active,Central GST on intra-state supplies; ITC mechanism,All Businesses,GST Council / Courts,High
122,Taxation Law,GST (IGST),IGST 2017,Integrated Goods and Services Tax Act,2017,Active,IGST on inter-state and import supplies,All Businesses,GST Council / Courts,High
123,Taxation Law,Customs Act,Customs Act 1962,Customs Act,1962,Active (Amended 2023),Import/export duties; customs procedures and penalties,Importers & Exporters,Customs Authority / CESTAT,High
124,Taxation Law,Wealth Tax (Repealed),Wealth Tax 1957,Wealth Tax Act,1957,Repealed (2015),Abolished; replaced by additional income tax surcharge,High Net Worth Individuals,N/A,Low
125,Taxation Law,New Tax Regime,Finance Act 2023,Finance Act (New Tax Regime),2023,Active,Default new tax regime with lower rates; removed most exemptions,Individual Taxpayers,Income Tax Department,High
126,Taxation Law,TDS Provisions,Chapter XVII-B IT Act,Income Tax Act (TDS),1961,Active (Updated 2024),Tax deduction at source from various payments; Form 26AS,Deductors,Income Tax Department,High
127,Immigration Law,Citizenship Act,Citizenship Act 1955,Citizenship Act,1955,Active (Amended 2019),Acquisition and termination of Indian citizenship; NRC,Foreigners & Citizens,Ministry of Home Affairs,High
128,Immigration Law,CAA 2019,CAA 2019,Citizenship (Amendment) Act,2019,Active (Rules notified 2024),Fast-track citizenship for 6 minority communities from 3 countries,Persecuted Minorities,Ministry of Home Affairs,High
129,Immigration Law,Foreigners Act,Foreigners Act 1946,Foreigners Act,1946,Active,"Entry, stay and departure of foreigners in India",Foreigners,Foreigners Regional Registration Office,High
130,Immigration Law,Passport Entry into India,PEI Act 1920,Passport (Entry into India) Act,1920,Active,Mandatory passport for entry into India,All Travellers,Immigration Authority,Medium
131,Media Law,Press and Registration Act,PRB Act 2023,Press and Registration of Periodicals Act,2023,Active,Replaced 1867 Act; online registration; faster process,Media Publishers,Press Registrar General,Medium
132,Media Law,Cable Television Networks Act,CTN Act 1995,Cable Television Networks (Regulation) Act,1995,Active,Regulation of cable TV operations; programme and advertisement codes,Cable Operators,Ministry of I&B,Medium
133,Media Law,Cinematograph Act,Cinematograph Act 1952,Cinematograph Act,1952,Active (Amended 2023),Film certification by CBFC; anti-piracy provisions added,Film Producers,CBFC / Courts,Medium
134,Election Law,Representation of People Act,RPA 1951,Representation of the People Act,1951,Active,Conduct of elections; eligibility; election disputes,Voters & Candidates,Election Commission / Courts,High
135,Election Law,Model Code of Conduct,MCC,Model Code of Conduct (ECI Guidelines),1971,Active (Updated regularly),Guidelines for political parties and candidates during elections,Political Parties & Candidates,Election Commission of India,High
136,Election Law,Election Commission Act,EC Act 1991,Election Commission (Conditions of Service) Act,1991,Active,Powers and conditions of Election Commissioners,Election Commission,Parliament,Medium
137,Police Law,Police Act,Police Act 1861,Police Act,1861,Active (Being replaced state-by-state),Organization and powers of police; discipline,Police Officers,State Government,High
138,Police Law,Armed Forces Special Powers Act,AFSPA 1958,Armed Forces (Special Powers) Act,1958,Active (Reviewed annually),Special powers to armed forces in disturbed areas,Armed Forces,Central Government,High
139,Police Law,National Security Act,NSA 1980,National Security Act,1980,Active,Preventive detention for national security; 12 months max,Government,Advisory Board / High Court,High
140,Agriculture Law,Essential Commodities Act,ECA 1955,Essential Commodities Act,1955,Active (Amended 2020),Stock limits on essential commodities; price control,Traders & Farmers,State Government,High
141,Agriculture Law,Seed Act,Seeds Act 1966,Seeds Act,1966,Active (Amendment pending),Quality standards for seeds; certification,Seed Companies,State Seed Authority,Medium
142,Agriculture Law,Farmers Rights Act,FM(EPR) Act 2001,Protection of Plant Varieties and Farmers' Rights Act,2001,Active,Protection of plant varieties; farmers' rights to save seeds,Farmers & Breeders,PPV&FR Authority,Medium
143,Agriculture Law,PM-KISAN Scheme,PM-KISAN 2019,PM Kisan Samman Nidhi Scheme,2019,Active (Ongoing 2026),Rs 6000/year direct benefit to farmers; aadhaar linked,Small & Marginal Farmers,PM-KISAN Portal,High
144,Disaster Management,Disaster Management Act,DM Act 2005,Disaster Management Act,2005,Active,NDMA established; disaster preparedness and response,All Citizens,NDMA / SDMA,High
145,Disaster Management,Epidemic Diseases Act,EDA 1897,Epidemic Diseases Act,1897,Active (Amended 2020),Powers to control epidemic; violence against healthcare workers,State Governments,State Government,High
146,Consumer Law,Consumer Protection (E-Commerce) Rules,E-Com Rules 2020,Consumer Protection (E-Commerce) Rules,2020,Active (Amended 2021),E-commerce platform obligations; grievance mechanism,Online Consumers,Consumer Commission,High
147,Consumer Law,Food Safety Act,FSSA 2006,Food Safety and Standards Act,2006,Active,FSSAI regulations; food safety standards; licensing,Food Businesses,FSSAI,High
148,Consumer Law,Legal Metrology Act,LM Act 2009,Legal Metrology Act,2009,Active,Standards for weights and measures; packaged commodity rules,Manufacturers & Retailers,Legal Metrology Department,Medium
149,Consumer Law,Bureau of Indian Standards,BIS Act 2016,Bureau of Indian Standards Act,2016,Active,Quality standards; ISI mark; hallmarking of gold,Manufacturers,BIS,Medium
